Name,City,Cuisine Style,Ranking,Restaurants Count,Ranking Normalized,Rating,Price Range,Number of Reviews
L'Evento,Geneva,Italian,1412,1674,0.8434886499402628,2.5,$,10
Giacomo Rosticceria,Milan,"Italian, Lombard, Northern-Italian, Mediterranean",5355,7025,0.7622775800711744,3.0,$$ - $$$,103
Hana Bento,Paris,"Japanese, Sushi, Asian, Healthy, Street Food",8390,16668,0.5033597312215022,4.5,$$ - $$$,10
sec,Paris,"Barbecue, Middle Eastern, Turkish",1480,16668,0.08879289656827453,4.5,$$ - $$$,111
Astrolabius,Madrid,"Spanish, International, Mediterranean, European",1464,10890,0.13443526170798897,4.5,$$ - $$$,92
La Kaserie,Berlin,"French, European",1292,7127,0.18128244703241195,5.0,$$ - $$$,28
Siam Garden,London,"Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options",1119,19359,0.05780257244692391,4.0,$$ - $$$,413
Le daily syrien,Paris,"Lebanese, Fast Food, Middle Eastern, Vegetarian Friendly",1281,16668,0.07685385169186465,4.5,$,156
Jones Dairy Cafe,London,"Cafe, British",13537,19359,0.6992613254816881,3.5,$,6
Petit Navire,Paris,Mediterranean,6131,16668,0.3678305735541157,4.5,$,16
Dada Falafel,Berlin,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options",135,7127,0.018942051354005892,4.5,$,884
Pizzeria Colosseum,Stockholm,Pizza,1783,2880,0.6190972222222222,4.5,$,3
KAARLE XII,Helsinki,"Bar, Pub",347,1474,0.23541383989145184,4.0,$$ - $$$,42
Taste of Taiwan Bubble Tea,Copenhagen,"Chinese, Cafe, Asian, Taiwanese",1023,2333,0.4384912130304329,4.5,$,9
Serafini Alla Pace,Rome,"Italian, Pizza, Mediterranean",3082,10586,0.2911392405063291,3.5,$$ - $$$,708
La Boiga Despensa,Madrid,Spanish,4161,10890,0.38209366391184574,4.0,$,17
Troy 22,London,British,8585,19359,0.4434629887907433,4.5,$,14
Il Classico,Brussels,"Italian, Pizza",1708,3526,0.4844015882019285,4.0,$$ - $$$,34
Ristorante Ferro,Oslo,"Pizza, Italian, Grill",436,1306,0.333843797856049,4.0,$$ - $$$,51
Nenasyta,Prague,"Mediterranean, European, Slovenian, Seafood, Central European",797,5235,0.15224450811843362,4.5,$$ - $$$,74
Mare Blu,Milan,"Italian, Seafood",3233,7025,0.4602135231316726,3.5,$,64
Sichuan Kuche,Munich,"Chinese, Asian",1520,3020,0.5033112582781457,3.5,$$ - $$$,47
Enrique Tomas,Barcelona,"Deli, Mediterranean, Spanish",6252,9312,0.6713917525773195,3.5,$$ - $$$,12
Nikos,Zurich,Greek,1218,1795,0.6785515320334262,3.5,$$ - $$$,49
Magda,Ljubljana,"Bar, Cafe, Seafood, Mediterranean, European, Pub, Wine Bar, Slovenian",214,581,0.3683304647160069,4.0,$$ - $$$,22
Mercato Ballaro,Madrid,"Italian, Mediterranean, European",769,10890,0.07061524334251607,4.0,$$ - $$$,369
Alfonso's Mexican & Grill Restaurant,Amsterdam,Mexican,468,3854,0.12143227815256875,4.0,$$ - $$$,327
Die Taverne,Hamburg,Greek,988,3157,0.31295533734558123,4.5,$$ - $$$,12
Room 43 Bar & Kitchen,London,"Mediterranean, Middle Eastern, Persian",9,19359,0.00046490004649000463,5.0,$$ - $$$,135
Poseidon,Munich,Greek,2208,3020,0.7311258278145696,3.5,$$ - $$$,42
Bari Bari,London,Vegetarian Friendly,3629,19359,0.1874580298569141,4.0,$$ - $$$,117
Mozzamo Thalkirchen,Munich,"Italian, Pizza, Mediterranean",1067,3020,0.3533112582781457,4.0,$$ - $$$,57
Ikura Sushi Bar,Madrid,"Japanese, Sushi, Asian",2003,10890,0.18393021120293848,4.0,$$ - $$$,185
Gran Torino Garage Bar,Barcelona,"European, Italian, Bar, Mediterranean, Spanish",360,9312,0.03865979381443299,4.5,$$ - $$$,171
Ibex,Madrid,"Indian, Fusion",6022,10890,0.5529843893480257,4.0,$$ - $$$,7
Aux 2 Vaches,Paris,Special Diets,8102,16668,0.48608111351091915,3.5,$,44
The Cheshire Cheese,London,"Bar, British, Pub",4216,19359,0.2177798440002066,3.5,$,182
Famoso Fusion,Milan,"Chinese, Japanese, Sushi, Asian, Thai",1670,7025,0.23772241992882562,3.5,$$ - $$$,495
La Sosta,Vienna,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania",47,3953,0.011889704022261574,4.5,$$ - $$$,565
Orinoco,Paris,International,12917,16668,0.7749580033597312,5.0,$,1
Spirit de Milan,Milan,"Italian, Lombard, Northern-Italian",3211,7025,0.45708185053380784,3.5,$$ - $$$,524
SOGOOSTO,Paris,"Italian, European",1959,16668,0.11753059755219583,4.0,$$ - $$$,208
Rice and Rice,Copenhagen,Thai,1590,2333,0.6815259322760394,3.5,$$ - $$$,23
Les Heures,Paris,"French, European",4379,16668,0.26271898248140146,4.0,$$$$,184
Anzo Menza,Budapest,"European, Hungarian",2561,2933,0.8731674053869758,1.0,$,1
La Vecchia Latteria,Milan,Italian,3835,7025,0.5459074733096085,3.0,$$ - $$$,367
La Midinette,Paris,"French, European",2486,16668,0.14914806815454765,4.5,$$ - $$$,88
Cafe Salonen,Copenhagen,"Bar, Cafe, European, Pub",686,2333,0.2940420060008573,4.5,$,24
La Bottega del Capestrano,Milan,"Italian, Mediterranean, Deli, Street Food",1912,7025,0.2721708185053381,4.0,$$ - $$$,152
L'Atelier Carnem,Paris,"Steakhouse, Barbecue, French",1606,16668,0.09635229181665467,4.5,$$$$,154
Il Tempo,Vienna,"European, Italian",3682,3953,0.9314444725524917,2.5,$$ - $$$,370
Pinsa Street,Rome,"Italian, Pizza, European, British",4238,10586,0.40034007179293407,4.0,$,106
Brasserie la Terrasse,Etterbeek,"French, Belgian, Bar, European",24,71,0.3380281690140845,3.5,$$ - $$$,344
Restaurant Manu,Hamburg,"Indian, Italian",2342,3157,0.7418435223313272,3.5,$,3
Drouant,Paris,"Local cuisine, French, European, Gastropub, Gluten Free Options",2182,16668,0.13090952723782098,4.0,$$$$,780
VIPS,Madrid,"Spanish, American",3899,10890,0.35803489439853076,3.5,$$ - $$$,173
Chez LY,Paris,"Chinese, Asian, Vegetarian Friendly",5080,16668,0.30477561795056396,4.0,$$$$,173
Subha Spice,Edinburgh,Indian,1508,1856,0.8125,5.0,$$ - $$$,2
LIN'S Restaurant & Take Away,Zurich,"Chinese, Asian",474,1795,0.264066852367688,4.5,$,51
Oniro,Hamburg,"Greek, Seafood, Mediterranean",1217,3157,0.38549255622426354,4.0,$$ - $$$,23
Vaclavske Bistro,Prague,Fast Food,3325,5235,0.6351480420248329,3.5,$,6
Istanbul Turkish Restaurant,Budapest,"Turkish, Fast Food, Middle Eastern",1334,2933,0.4548244118649847,3.5,$,58
Lou One,Geneva,"Chinese, Asian, Vegetarian Friendly",289,1674,0.17264038231780168,3.5,$$$$,276
Botzaris Cafe,Paris,"Mediterranean, Moroccan",8521,16668,0.5112191024718022,4.0,$$ - $$$,16
L'Hommage,Paris,"French, European, Contemporary",127,16668,0.007619390448764099,4.5,$$ - $$$,246
Cafe Bambu,Copenhagen,"Latin, Cafe, International, Contemporary, Fusion",1975,2333,0.8465495070724389,3.0,$$ - $$$,3
Iddu,London,"Italian, Cafe, Mediterranean, European, Vegetarian Friendly, Vegan Options",7689,19359,0.3971796063846273,3.5,$$ - $$$,206
Restauracyjka Alibi,Krakow,"European, Grill, Healthy, Polish",327,1589,0.20578980490874765,4.5,$$ - $$$,57
River Cafe,Budapest,"European, Hungarian",1500,2933,0.5114217524718718,4.5,$,7
Cheese Pizza,Krakow,Italian,646,1589,0.4065449968533669,5.0,$,10
Plzenska Restaurace U Graffu,Prague,Czech,1104,5235,0.21088825214899715,3.5,$$ - $$$,575
Daylounge Cafe. Bistro. Bar,Vienna,"Bar, Cafe",3603,3953,0.9114596508980521,2.5,$$ - $$$,41
Martini Bistrot Dolce&Gabbana,Milan,"Italian, Mediterranean, European, Lombard, Northern-Italian",810,7025,0.11530249110320284,4.0,$$$$,528
Le Milan,Brussels,Italian,485,3526,0.1375496313102666,4.5,$$ - $$$,77
Zarcie Mamuski,Warsaw,"Polish, European",1477,3007,0.49118722979714,4.5,$,5
Golden Rice,Berlin,"Japanese, Sushi, Asian, Vietnamese",459,7127,0.06440297460362003,4.0,$$ - $$$,154
Manga Cafe,Athens,"Fast Food, European",833,2438,0.3416735028712059,4.5,$,30
Zing Zing - Kensal Rise,London,"Chinese, Fast Food, Asian",6546,19359,0.3381373004803967,4.0,$$ - $$$,55
Hapi Kacerov,Prague,"European, Czech",2718,5235,0.5191977077363897,4.0,$,5
Casa Roma,Paris,Italian,7383,16668,0.4429445644348452,4.0,$,48
Pietro Nizej,Warsaw,"Polish, European",1177,3007,0.39142001995344194,4.0,$$ - $$$,12
La Creperie Bretonne,Paris,French,1343,16668,0.08057355411567074,4.0,$$ - $$$,440
Francesca,Meyrin,"Italian, Pizza, Street Food",18,38,0.47368421052631576,4.0,$,17
L'esprit Bistrot Monplaisir,Lyon,"French, International, European",1176,2705,0.43475046210720886,3.5,$$ - $$$,161
Bar  Loose,Helsinki,"Bar, Pub",451,1474,0.30597014925373134,4.5,$$ - $$$,44
Restaurant Lastage,Amsterdam,"French, Dutch, European",144,3854,0.03736377789309808,4.5,$$$$,364
Toko Bersama,Amsterdam,Indonesian,2440,3854,0.6331084587441619,4.5,$,11
Restaurant Phoenicia,Berlin,"Lebanese, Mediterranean, Middle Eastern, Arabic",3275,7127,0.45952013469903186,4.5,$$ - $$$,48
Tunnel Vienna Live,Vienna,"Central European, European",897,3953,0.22691626612699214,4.0,$,126
Valentino Pizza & Pasta Express,Berlin,Italian,4869,7127,0.6831766521678125,4.0,$,6
Zum Alten Markt,Munich,"Local cuisine, German, European, Central European, Vegetarian Friendly",92,3020,0.030463576158940398,4.5,$$ - $$$,448
Jedalen u Danovaka 2,Bratislava,Pub,937,1199,0.7814845704753962,2.5,$$ - $$$,3
Don Cresta,Madrid,Steakhouse,5482,10890,0.5033976124885216,5.0,$,4
Les Miscellanees de M. Jash,Paris,French,5382,16668,0.3228941684665227,4.5,$,33
Yomaro Hamburg,Hamburg,FEATURES,1459,3157,0.4621476084890719,4.0,$,17
Hideaway,London,Dinner,14939,19359,0.7716824216126866,3.5,$$ - $$$,15
The Union Regents Place,London,"Bar, European, British, Pub, Vegetarian Friendly",3900,19359,0.20145668681233536,4.5,$$ - $$$,70
Rosticceria Leoncino,Milan,Italian,2530,7025,0.3601423487544484,4.0,$$ - $$$,76
Restaurante Picadero 5,Barcelona,"Spanish, Mediterranean",3877,9312,0.4163445017182131,3.5,$$ - $$$,175
Dito Divino,Milan,Italian,2198,7025,0.31288256227758005,4.5,$,59
Hostaria Nomentana,Rome,"Italian, Seafood",3169,10586,0.2993576421689023,4.0,$$ - $$$,140
Steak'n Shake Oporto,Porto,"American, Fast Food, Diner",19,28,0.6785714285714286,3.5,$,241
Roti,London,"Indian, Middle Eastern, Pakistani",13260,19359,0.6849527351619402,4.0,$,2
Venezia Bacaro,London,"Italian, Mediterranean, European",2277,19359,0.11761971176197118,4.5,$$ - $$$,135
Lucano,Barcelona,"Italian, Pizza, Mediterranean, European, Spanish, Vegetarian Friendly",3171,9312,0.34052835051546393,3.5,$$ - $$$,114
Alma Mater Cafe and Restaurant,Budapest,"Hungarian, European, Eastern European, Central European",1142,2933,0.3893624275485851,4.0,$$ - $$$,33
Jawa Restaurant,Hamburg,"Asian, Indonesian",618,3157,0.19575546404814698,4.0,$$ - $$$,50
Peking Garden,Zurich,"Chinese, Asian",1684,1795,0.9381615598885794,2.5,$,48
Asiagourmet,Munich,"Fast Food, Asian, Thai",898,3020,0.29735099337748344,4.0,$,45
Risotto Restaurant Munich,Munich,"Italian, Seafood, International, Mediterranean, Sicilian, Southern-Italian",3,3020,0.0009933774834437086,5.0,$$ - $$$,696
Bluefields Madrid,Madrid,Cafe,9347,10890,0.8583103764921947,2.5,$$ - $$$,9
Piment d'Or,Paris,"Vietnamese, Asian",8300,16668,0.497960163186945,3.5,$,32
Cafe Boheme,Athens,"Bar, Mediterranean, European, Greek, Pub",926,2438,0.37981952420016407,4.5,$$ - $$$,39
Hostivar H2,Prague,"Brew Pub, International, European, Pub, Gastropub, Czech",1415,5235,0.2702960840496657,4.0,$$ - $$$,24
Mats & Martin CC Vest,Oslo,"International, European, Grill, Scandinavian, Norwegian",641,1306,0.4908116385911179,3.5,$$ - $$$,26
Divadelni,Prague,European,2865,5235,0.5472779369627507,4.0,$$ - $$$,8
Chapela Tienda&Cafe,Madrid,Spanish,5208,10890,0.47823691460055096,4.5,$$ - $$$,7
Asado Steak,Munich,"Steakhouse, Fast Food",2591,3020,0.8579470198675496,3.0,$$ - $$$,21
Alem do Tejo,Hamburg,"European, Portuguese",1537,3157,0.4868546088058283,5.0,$,5
Monsieur P,Lyon,French,34,2705,0.012569316081330868,4.5,$$$$,158
Bar Atrium,Paris,"Bar, European, Pub",5590,16668,0.3353731701463883,4.5,$$ - $$$,33
Apadana,Vienna,"Barbecue, Grill, Middle Eastern, Persian",139,3953,0.03516316721477359,4.5,$$ - $$$,133
Gatsby Barcelona,Barcelona,"International, Mediterranean, European, Spanish",3568,9312,0.38316151202749144,3.5,$$$$,500
Eat,London,Cafe,11418,19359,0.5898031923136525,3.5,$,11
Fish Basket,London,"Seafood, Fast Food",13958,19359,0.7210083165452761,3.5,$,13
Tapas 2254,Barcelona,Catalan,275,9312,0.029531786941580755,4.5,$$ - $$$,960
The Boozy Cow,Edinburgh,"American, Bar, British, Pub",435,1856,0.234375,4.0,$$ - $$$,983
Sichuan Food,Amsterdam,"Chinese, Asian",315,3854,0.08173326414115205,4.5,$$ - $$$,255
Bufete Sao Domingos,Porto,"Bar, European, Portuguese",1736,1900,0.9136842105263158,3.0,$,201
Mythos,Milan,"Greek, Fast Food",319,7025,0.04540925266903915,4.5,$,267
Pizzeria San Marino,Barcelona,"Italian, Pizza, European",5065,9312,0.5439218213058419,3.5,$,54
Monarki,Stockholm,French,2017,2880,0.7003472222222222,4.0,$,5
Bombay Masala,Madrid,"Indian, Asian",6003,10890,0.5512396694214876,3.5,$$ - $$$,163
Le Rest'O,Paris,French,15004,16668,0.9001679865610751,2.5,$$ - $$$,67
La Mercerie,Paris,Pizza,13656,16668,0.8192944564434845,3.0,$$ - $$$,15
Skanskvarn,Stockholm,"European, Swedish",2181,2880,0.7572916666666667,3.0,$$ - $$$,33
Pronto Pizza,Milan,"Pizza, Italian",4810,7025,0.6846975088967971,4.0,$,12
Kings Cafe,London,British,12831,19359,0.6627924996125832,4.0,$,4
Paperi e Papere,Rome,"Italian, Pizza, Mediterranean",3171,10586,0.2995465709427546,4.0,$$ - $$$,301
L'Ami Pierre,Paris,"French, European",1801,16668,0.10805135589152867,4.5,$$ - $$$,135
El Barrio Cerveceria',Madrid,Spanish,6461,10890,0.5932966023875115,4.0,$,7
Max's Caffe,Milan,Italian,4316,7025,0.6143772241992883,4.0,$,7
Hare and tortoise,London,"Japanese, Sushi, Asian, Vegetarian Friendly, Vegan Options",3461,19359,0.17877989565576735,4.0,$$ - $$$,130
Exarhis,Athens,"Mediterranean, Greek, Grill",138,2438,0.05660377358490566,4.5,$,236
Factory Hasselbrook,Hamburg,"German, European, Central European",1347,3157,0.4266708900855242,3.5,$$ - $$$,56
Divino,Rome,"Italian, Pizza, Mediterranean",2925,10586,0.2763083317589269,4.0,$$ - $$$,124
Joy In Food,Paris,"Vegetarian Friendly, Vegan Options",4700,16668,0.2819774418046556,5.0,$$ - $$$,30
Old Tom and English,London,British,8387,19359,0.4332351877679632,4.0,$$ - $$$,97
Le Tricycle,Paris,Special Diets,4101,16668,0.24604031677465804,4.5,$,60
Van Anh,Berlin,"Asian, Vietnamese",687,7127,0.09639399466816333,4.5,$$ - $$$,109
La Pergola,Lyon,Pizza,1837,2705,0.6791127541589649,3.5,$$ - $$$,10
San Mina,Milan,"Italian, Pizza, Seafood, Mediterranean",219,7025,0.031174377224199287,4.0,$,407
Ristorante & Pinseria Infinito,Rome,"Italian, Pizza, Seafood, Mediterranean",1767,10586,0.1669185716984697,4.5,$$ - $$$,144
Yolkin,on,Special Diets,107,504,0.2123015873015873,4.5,$,44
"Sciura Maria Panzerotti Via Cenisio, 36",Milan,"Mediterranean, Deli, Italian, Fast Food",376,7025,0.05352313167259787,4.5,$,154
Restaurante Martes 13,Madrid,"Mediterranean, European, Spanish",1276,10890,0.11717171717171718,4.0,$$ - $$$,217
Le Cent dix sept,Paris,"Bar, Pub, French",8205,16668,0.492260619150468,5.0,$,11
Stella d'oro,Rome,"Chinese, Asian",3080,10586,0.2909503117324769,4.0,$$ - $$$,105
Axuria,Paris,"French, European",609,16668,0.036537077033837295,4.5,$$ - $$$,463
Al Masar,London,"Lebanese, Mediterranean, Middle Eastern",5332,19359,0.2754274497649672,4.0,$$ - $$$,103
Piedra,Athens,"Mediterranean, Greek, Italian, European",758,2438,0.31091058244462677,4.5,$$$$,42
B&M Montmartre,Paris,"American, Fast Food",2263,16668,0.1357691384689225,4.5,$$ - $$$,65
Au Quai de la Gare,Luxembourg City,French,442,715,0.6181818181818182,4.0,$$ - $$$,9
Bedales at Spitalfields,London,Wine Bar,6509,19359,0.3362260447337156,4.0,$$ - $$$,57
Akle - Le Comptoir a Mezzes,Lyon,"Lebanese, Middle Eastern, Mediterranean",25,2705,0.009242144177449169,4.5,$,151
Ali Baba - Kebab Haus,Lisbon,"Turkish, Fast Food",1931,4685,0.41216648879402346,4.0,$,45
Gazela Cachorrinhos da Batalha,Porto,"Local cuisine, Bar, Portuguese, Pub",54,1900,0.028421052631578948,4.5,$,980
Devoti Bar,Milan,"Italian, Cafe",4060,7025,0.5779359430604982,4.0,$,16
the royal inn on the park,London,"Bar, British, Pub",13850,19359,0.715429515987396,3.0,$$ - $$$,99
Cafe Rambuteau,Paris,"French, Cafe",8445,16668,0.5066594672426206,3.5,$,36
Little Ass Burrito Bar,Dublin,"Mexican, Fast Food",160,259,0.6177606177606177,4.0,$,30
Bar Soba Edinburgh,Edinburgh,"Asian, Thai",530,1856,0.2855603448275862,4.0,$$ - $$$,864
Titanic Irish Pub,Hamburg,Pub,620,3157,0.19638897687678175,4.5,$,41
La Guardia Bar Restaurant,Barcelona,Spanish,4374,9312,0.4697164948453608,4.5,$,13
Restaurant Le Flore,Geneva,"French, Swiss, Italian, Pizza, European, Central European",354,1674,0.2114695340501792,4.0,$$ - $$$,388
Pasta Bar,Brussels,"Italian, Mediterranean",1099,3526,0.3116846284741917,4.0,$$ - $$$,42
Soulmatefood Kitchen,London,Healthy,14003,19359,0.7233328167777261,5.0,$,1
The Chelsea Corner,London,"Italian, Vegetarian Friendly, Vegan Options, Gluten Free Options",23,19359,0.0011880778965855673,5.0,$$ - $$$,154
Cafe Corniche,Stockholm,"Lebanese, Mediterranean, Middle Eastern",2410,2880,0.8368055555555556,3.0,$$ - $$$,52
Bone Daddies Bermondsey,London,"Japanese, Asian, Soups",6860,19359,0.35435714654682576,4.0,$$ - $$$,46
Lao Lane Xang,Paris,"Asian, Thai, Vietnamese",1933,16668,0.11597072234221262,4.0,$$ - $$$,771
Shuzo,Madrid,"Dinner, Drinks",3789,10890,0.34793388429752065,4.5,$$ - $$$,17
Da Peppino,Berlin,"Italian, European",2923,7127,0.41013048968710536,4.0,$$ - $$$,37
Restaurante Cervejaria Solar do Vez,Lisbon,"Portuguese, European",1712,4685,0.36542155816435434,4.0,$,72
Hamid Daryani,Rome,"Middle Eastern, Persian",8301,10586,0.7841488758737956,5.0,$$ - $$$,1
Flavour of India,London,Indian,9779,19359,0.5051397282917506,4.5,$$ - $$$,7
XOI - Sticky Rice,Berlin,"Asian, Vietnamese",1170,7127,0.16416444506805108,4.5,$$ - $$$,33
Daphne Restaurant,London,"Mediterranean, Greek, Vegetarian Friendly, Vegan Options",53,19359,0.002737744718218916,5.0,$$ - $$$,267
The Parlour,London,"Cafe, British",3104,19359,0.16033886047833049,4.0,$$ - $$$,637
L'Oree du Parc,Paris,"French, European",3866,16668,0.23194144468442524,4.0,$$ - $$$,132
Wee-An,Lyon,"French, European, Wine Bar, Diner",426,2705,0.15748613678373383,4.5,$$ - $$$,125
KFC Na Porici,Prague,"American, Fast Food",64,116,0.5517241379310345,3.5,$,69
l'Epopee,Paris,"French, European",2252,16668,0.13510919126469884,4.0,$$ - $$$,217
Sushi Noodles by Kobe Restaurants,Prague,"Japanese, Steakhouse, International, Asian, Contemporary",1928,5235,0.3682903533906399,4.0,$$ - $$$,21
Silla,Berlin,Asian,5966,7127,0.8370983583555494,3.0,$,3
The Food Temple,Lisbon,"European, International, Fusion, Beer restaurants, Vegetarian Friendly",320,4685,0.06830309498399147,4.5,$$ - $$$,432
Gate Bar,London,"Dinner, Late Night",9443,19359,0.4877834598894571,4.0,$$ - $$$,19
Au Grand Mechant Loup,Lyon,French,470,2705,0.17375231053604437,4.0,$$ - $$$,128
La Bocca,Paris,"Italian, Mediterranean, European",5172,16668,0.3102951763858891,3.5,$$ - $$$,179
Millennium,Zurich,"Fast Food, Turkish",1140,1795,0.6350974930362117,3.5,$,27
Hot Milk Cafe,London,"Italian, American, British, Cafe",435,1819,0.23914238592633316,4.5,$,26
La Tavernetta,Brussels,Italian,1131,3526,0.32076006806579693,4.0,$$ - $$$,30
Caffe Valadier,Rome,"Italian, Cafe, International, Mediterranean",4615,10586,0.43595314566408466,4.0,$$ - $$$,51
Taz Kantine,Berlin,Cafe,2931,7127,0.4112529816191946,4.0,$,13
Phi-Lac Noodle House,London,"Chinese, Asian",15424,19359,0.7967353685624258,3.0,$,9
Steakviertel,Vienna,Steakhouse,2551,3953,0.6453326587401973,4.0,$$ - $$$,13
La Tasca de Ventura,Madrid,"Local cuisine, European, Spanish, Mediterranean, Vegetarian Friendly",1939,10890,0.1780532598714417,3.5,$$ - $$$,204
Liopetro,Athens,"Mediterranean, Greek",851,2438,0.3490566037735849,4.0,$$ - $$$,96
Go! Sushing Mirasierra,Madrid,Japanese,8119,10890,0.7455463728191001,3.5,$,3
Kombrink,Berlin,"German, Cafe",3869,7127,0.5428651606566578,4.5,$$ - $$$,7
Cafe Nova,Lyon,FEATURES,1515,2705,0.5600739371534196,4.0,$,20
La Cantina Rosso,Berlin,"Italian, Pizza, European, Mediterranean, Vegetarian Friendly, Vegan Options",570,7127,0.07997755016135821,4.0,$$ - $$$,148
Giardino d'oro,Milan,"Chinese, Pizza",3371,7025,0.4798576512455516,3.5,$,54
Nice To Meet You Restaurant & Lounge,Madrid,Spanish,1279,10890,0.11744719926538108,3.5,$$ - $$$,506
Da Domenico,Rome,"Italian, Pizza, Mediterranean, Romana, Lazio, Central-Italian",3752,10586,0.35443037974683544,3.5,$,299
Miran Restaurant,London,Turkish,13904,19359,0.718218916266336,5.0,$$ - $$$,1
Punkt 77,Warsaw,Cafe,1894,3007,0.6298636514798803,5.0,$,2
La Pergola,Brussels,"French, Seafood, Belgian, European",2886,3526,0.8184912081678957,3.0,$$ - $$$,168
La Dolce Vita,Prague,Cafe,2133,5235,0.40744985673352435,4.5,$,7
Belcafe Pizza & Bar,Zurich,Special Diets,1088,1795,0.6061281337047354,3.5,$,38
Sette Pizza,Paris,"Italian, Pizza, European",1367,16668,0.08201343892488601,4.5,$,295
Snack-bar a Pracinha,Lisbon,"European, Portuguese",2284,4685,0.4875133404482391,5.0,$,9
Best Kebab And Fried Chicken,London,Middle Eastern,13978,19359,0.7220414277596984,3.5,$,5
Patri,London,"Indian, Asian, Street Food",734,19359,0.037915181569295936,4.5,$$ - $$$,215
Nagy fal Kinai Bufe,Budapest,Chinese,2572,2933,0.8769178315717695,2.5,$,9
Meram Restaurant,Hamburg,Turkish,557,3157,0.17643332277478618,4.5,$$ - $$$,50
Earl Spencer,London,"Bar, British, Pub, Vegetarian Friendly",5447,19359,0.28136783924789505,4.0,$$ - $$$,160
pizzeria verace neapoletana,Milan,"Italian, Pizza",4937,7025,0.7027758007117437,4.0,$,10
Kim Chi,Hamburg,"Asian, Korean",743,3157,0.23535001583782073,4.0,$$ - $$$,32
The Scotch Malt Whisky Society,Edinburgh,"Local cuisine, European, British, Scottish, Vegetarian Friendly",154,1856,0.08297413793103449,4.5,$$ - $$$,248
Brasa London,London,"British, Bar",8957,19359,0.46267885737899683,4.0,$$ - $$$,29
The Clocktower Cafe,London,"Cafe, British",7764,19359,0.4010537734387107,4.0,$$ - $$$,107
Branicky Sklipek,Prague,"Bar, Czech, Central European, European",4162,5235,0.795033428844317,3.0,$$ - $$$,109
Petit Cafe,Munich,FEATURES,936,3020,0.30993377483443707,4.5,$$ - $$$,26
The Brew Dock,Dublin,"Irish, Bar, Pub",310,2313,0.1340250756593169,4.0,$$ - $$$,349
O Poleiro,Lisbon,"Mediterranean, European, Portuguese",403,4685,0.08601921024546424,4.5,$$ - $$$,344
Restaurante Solidere,Madrid,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options",489,10890,0.04490358126721763,4.0,$$ - $$$,364
Cafe Oasis,Dublin,"Lebanese, Mediterranean, Middle Eastern, Cafe, Vegetarian Friendly",380,2313,0.16428880242109814,4.5,$,168
Cafe Fratelli, London,Italian,1236,1407,0.8784648187633263,3.0,$,9
Maria la Lia,Madrid,"Mediterranean, Spanish, Contemporary, Fusion, Healthy",400,10890,0.03673094582185491,4.5,$$ - $$$,413
JET SET - Gastronomie perse,Paris,"Middle Eastern, Persian",14571,16668,0.8741900647948164,3.0,$$ - $$$,77
Misso Coree,Paris,"Asian, Korean",7963,16668,0.4777417806575474,4.5,$,13
Cafe Delice,London,Cafe,16182,19359,0.8358902835890284,2.5,$$ - $$$,15
Curry Insel,Vienna,"Asian, Sri Lankan",628,3953,0.15886668353149508,4.0,$$ - $$$,185
Bouillabaise,Berlin,Seafood,2296,7127,0.32215518450961134,4.0,$$ - $$$,32
Morgarten Bar & Resturant,Zurich,"European, Gastropub, Mediterranean, Central European",537,1795,0.29916434540389975,4.0,$$ - $$$,58
Pascucci,Vienna,Meals,2648,3953,0.6698709840627372,4.0,$$ - $$$,8
Casse-Croute,Hamburg,"Local cuisine, French, German, European, Central European, International",83,3157,0.026290782388343363,4.5,$$ - $$$,297
La Gondola Italian Restaurant,Dublin,"Italian, Pizza, European",361,2313,0.15607436230004323,4.0,$$ - $$$,334
San Glicerio 1 dal 1972 di Gianni Arcieri,Milan,"Seafood, Mediterranean, Soups, Apulian, Southern-Italian",368,7025,0.052384341637010674,4.5,$$ - $$$,513
Donde da la vuelta el viento,Madrid,"Spanish, International",3066,10890,0.2815426997245179,4.0,$,115
Don Roberto Pizzeria,Budapest,"Italian, Pizza, European",790,2933,0.2693487896351858,4.0,$,74
McDonald's,Paris,Meals,13995,16668,0.8396328293736501,3.0,$,15
La Casa Di Michael,Amsterdam,"Bar, Pizza, Cafe, Dining bars, Italian, Pub",210,3854,0.054488842760768035,4.5,$$ - $$$,429
Tuan Phong,Berlin,German,3575,7127,0.5016135821523783,4.0,$,10
EssZimmer - Fine Dining Restaurant in der BMW Welt,Munich,International,17,3020,0.005629139072847682,4.5,$$$$,252
Mooshies London,London,"Quick Bites, Fast Food, American, Grill, Healthy, Vegetarian Friendly",14,1819,0.007696536558548653,4.5,$$ - $$$,184
Tcham & Bang,Paris,"Korean, Asian",8916,16668,0.5349172066234701,4.0,$$ - $$$,41
Mancora Cebicheria,Paris,"Peruvian, Vegetarian Friendly, Vegan Options, Gluten Free Options",566,16668,0.033957283417326616,4.5,$$ - $$$,453
La Caletta St.Peter,Rome,"Local cuisine, Italian, Seafood, Mediterranean, Contemporary",242,10586,0.02286038163612318,4.5,$$$$,649
